Тикер,Рыночная цена,Рыночная цена  на дату продажи опциона,Количество позиций акций,Количество позиций коллов,Количество позиций путов,STRIKE PUT,STRIKE CALL,Премия колла,Текущая премия колла,Премия пута,Текущая премия пута,Итого премия,Комиссия,Точка безубыточности нижняя,Точка безубыточности верхняя,Число акций в контракте,Начальная инвестиция (маржа),Текущая маржа пута,Текущая маржа колла,Текущая маржа позиции,P breakout DOWN,P breakout UP,ESP позиции,THETA позиции,GAMMA Position,VEGA Position,Защита от падения,Вероятный статистический доход,Наиболее вероятный ROI стренгла в процентах ,Текущий PL позиции без учета дивов,ROI now,Текущая годовая доходность,Вероятная годовая доходность,Дата сделки,Дата экспирации,Длина позиции,Осталось дней до закрытия,IV call,IV put,HV 200,Контракт short call,Контракт short put,RATE,DIV,BETA,NOM EXPOSURE on STOCK for HEDGE,ACCOUNT
NYSEARCA:GLD,"=GOOGLEFINANCE(A2,""price"")",185.0,0,-1,-1,185.0,200.0,7.15,"=OPTIONDATA(AP2,""PRICE"")",8.1,"=OPTIONDATA(AQ2,""PRICE"")",=I2*ABS(E2)+K2*ABS(F2),2.0,=(G2-M2),=H2+M2,100,3500,"=L2+MAX((0.1*B2-(B2-G2)),(0.1*G2))","=J2+MAX((0.1*B2-(G2-B2)),(0.1*B2))","=(If(S2>T2, S2+J2, T2+L2)*100)*ABS(E2)","=probbelow(B2,O2,AL2,(AO2))","=probabove(B2,P2,AL2,(AO2))","=-(DELTA_CALL(B2,H2,AM2,AR2,AS2,AL2)*ABS(E2)*Q2)-(DELTA_PUT(B2,G2,AN2,AR2,AS2,AL2)*ABS(F2)*Q2)","=-THETA_CALL(B2,H2,AM2,AR2,AS2,AL2)*ABS(E2)*Q2-THETA_PUT(B2,G2,AN2,AR2,AS2,AL2)*ABS(F2)*Q2","=-GAMMA_OPTION(B2,H2,AM2,AR2,AS2,AL2)*ABS(E2)*Q2-GAMMA_OPTION(B2,G2,AN2,AR2,AS2,AL2)*ABS(F2)*Q2","=-VEGA_OPTION(B2,H2,AM2,AR2,AS2,AL2)*ABS(E2)*Q2-VEGA_OPTION(B2,G2,AN2,AR2,AS2,AL2)*ABS(F2)*Q2",=(C2-O2)/C2,731.8366565570383,=AC2/R2,=((I2*ABS(E2)*Q2)-(J2*ABS(E2)*Q2))+((K2*ABS(F2)*Q2)-(L2*ABS(F2)*Q2)),=AE2/U2,"=(((AE2/U2)+1)^(365/(DATEDIF(AI2,TODAY(),""D""))))-1",=(((AC2/U2)+1)^(365/AK2))-1,45022,45289,267,"=DATEDIF(TODAY(),AJ2,""D"")","=OPTIONDATA(AP2,""IV"")","=OPTIONDATA(AQ2,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A2,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A2,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",GLD231229C00200000,GLD231229P00185000,0.045,0.0,0.15,=X2*AT2*B2,EXANTE
EEM,"=GOOGLEFINANCE(A3,""price"")",39.8,0,-1,-1,39.0,45.0,1.1,"=OPTIONDATA(AP3,""PRICE"")",1.7,"=OPTIONDATA(AQ3,""PRICE"")",=I3*ABS(E3)+K3*ABS(F3),2.0,=(G3-M3),=H3+M3,100,900,"=L3+MAX((0.1*B3-(B3-G3)),(0.1*G3))","=J3+MAX((0.1*B3-(G3-B3)),(0.1*B3))","=(If(S3>T3, S3+J3, T3+L3)*100)*ABS(E3)","=probbelow(B3,O3,AL3,(AO3))","=probabove(B3,P3,AL3,(AO3))","=-(DELTA_CALL(B3,H3,AM3,AR3,AS3,AL3)*ABS(E3)*Q3)-(DELTA_PUT(B3,G3,AN3,AR3,AS3,AL3)*ABS(F3)*Q3)","=-THETA_CALL(B3,H3,AM3,AR3,AS3,AL3)*ABS(E3)*Q3-THETA_PUT(B3,G3,AN3,AR3,AS3,AL3)*ABS(F3)*Q3","=-GAMMA_OPTION(B3,H3,AM3,AR3,AS3,AL3)*ABS(E3)*Q3-GAMMA_OPTION(B3,G3,AN3,AR3,AS3,AL3)*ABS(F3)*Q3","=-VEGA_OPTION(B3,H3,AM3,AR3,AS3,AL3)*ABS(E3)*Q3-VEGA_OPTION(B3,G3,AN3,AR3,AS3,AL3)*ABS(F3)*Q3",=(C3-O3)/C3,-3.722234979386224,=AC3/R3,=((I3*ABS(E3)*Q3)-(J3*ABS(E3)*Q3))+((K3*ABS(F3)*Q3)-(L3*ABS(F3)*Q3)),=AE3/U3,"=(((AE3/U3)+1)^(365/(DATEDIF(AI3,TODAY(),""D""))))-1",=(((AC3/U3)+1)^(365/AK3))-1,45112,45464,352,"=DATEDIF(TODAY(),AJ3,""D"")","=OPTIONDATA(AP3,""IV"")","=OPTIONDATA(AQ3,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A3,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A3,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",EEM240621C00045000,EEM240621P00039000,0.045,0.02,0.95,=X3*AT3*B3,EXANTE
PG,"=GOOGLEFINANCE(A4,""price"")",152.0,0,-1,-1,150.0,170.0,3.65,"=OPTIONDATA(AP4,""PRICE"")",7.55,"=OPTIONDATA(AQ4,""PRICE"")",=I4*ABS(E4)+K4*ABS(F4),2.0,=(G4-M4),=H4+M4,100,2600,"=L4+MAX((0.1*B4-(B4-G4)),(0.1*G4))","=J4+MAX((0.1*B4-(G4-B4)),(0.1*B4))","=(If(S4>T4, S4+J4, T4+L4)*100)*ABS(E4)","=probbelow(B4,O4,AL4,(AO4))","=probabove(B4,P4,AL4,(AO4))","=-(DELTA_CALL(B4,H4,AM4,AR4,AS4,AL4)*ABS(E4)*Q4)-(DELTA_PUT(B4,G4,AN4,AR4,AS4,AL4)*ABS(F4)*Q4)","=-THETA_CALL(B4,H4,AM4,AR4,AS4,AL4)*ABS(E4)*Q4-THETA_PUT(B4,G4,AN4,AR4,AS4,AL4)*ABS(F4)*Q4","=-GAMMA_OPTION(B4,H4,AM4,AR4,AS4,AL4)*ABS(E4)*Q4-GAMMA_OPTION(B4,G4,AN4,AR4,AS4,AL4)*ABS(F4)*Q4","=-VEGA_OPTION(B4,H4,AM4,AR4,AS4,AL4)*ABS(E4)*Q4-VEGA_OPTION(B4,G4,AN4,AR4,AS4,AL4)*ABS(F4)*Q4",=(C4-O4)/C4,28.207158217698925,=AC4/R4,=((I4*ABS(E4)*Q4)-(J4*ABS(E4)*Q4))+((K4*ABS(F4)*Q4)-(L4*ABS(F4)*Q4)),=AE4/U4,"=(((AE4/U4)+1)^(365/(DATEDIF(AI4,TODAY(),""D""))))-1",=(((AC4/U4)+1)^(365/AK4))-1,45112,45464,352,"=DATEDIF(TODAY(),AJ4,""D"")","=OPTIONDATA(AP4,""IV"")","=OPTIONDATA(AQ4,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A4,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A4,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",PG240621C00170000,PG240621P00150000,0.045,0.025,"=GOOGLEFINANCE(A4,""beta"")",=X4*AT4*B4,EXANTE
JNJ,"=GOOGLEFINANCE(A5,""price"")",159.7,0,-1,-1,160.0,175.0,4.45,"=OPTIONDATA(AP5,""PRICE"")",8.55,"=OPTIONDATA(AQ5,""PRICE"")",=I5+K5,4.0,=(G5-M5),=H5+M5,100,2600,"=L5+MAX((0.1*B5-(B5-G5)),(0.1*G5))","=J5+MAX((0.1*B5-(G5-B5)),(0.1*B5))","=(If(S5>T5, S5+J5, T5+L5)*100)*ABS(E5)","=probbelow(B5,O5,AL5,(AO5))","=probabove(B5,P5,AL5,(AO5))","=-(DELTA_CALL(B5,H5,AM5,AR5,AS5,AL5)*ABS(E5)*Q5)-(DELTA_PUT(B5,G5,AN5,AR5,AS5,AL5)*ABS(F5)*Q5)","=-THETA_CALL(B5,H5,AM5,AR5,AS5,AL5)*ABS(E5)*Q5-THETA_PUT(B5,G5,AN5,AR5,AS5,AL5)*ABS(F5)*Q5","=-GAMMA_OPTION(B5,H5,AM5,AR5,AS5,AL5)*ABS(E5)*Q5-GAMMA_OPTION(B5,G5,AN5,AR5,AS5,AL5)*ABS(F5)*Q5","=-VEGA_OPTION(B5,H5,AM5,AR5,AS5,AL5)*ABS(E5)*Q5-VEGA_OPTION(B5,G5,AN5,AR5,AS5,AL5)*ABS(F5)*Q5",=(C5-O5)/C5,-532.0234088816793,=AC5/R5,=((I5*ABS(E5)*Q5)-(J5*ABS(E5)*Q5))+((K5*ABS(F5)*Q5)-(L5*ABS(F5)*Q5)),=AE5/U5,"=(((AE5/U5)+1)^(365/(DATEDIF(AI5,TODAY(),""D""))))-1",=(((AC5/U5)+1)^(365/AK5))-1,45112,45464,350,"=DATEDIF(TODAY(),AJ5,""D"")","=OPTIONDATA(AP5,""IV"")","=OPTIONDATA(AQ5,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A5,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A5,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",JNJ240621C00175000,JNJ240621P00160000,0.04,0.03,"=GOOGLEFINANCE(A5,""beta"")",=X5*AT5*B5,EXANTE
NYSEARCA:GLD,"=GOOGLEFINANCE(A6,""price"")",188.0,0,-1,-1,185.0,200.0,8.68,"=OPTIONDATA(AP6,""PRICE"")",9.43,"=OPTIONDATA(AQ6,""PRICE"")",=I6+K6,2.0,=(G6-M6),=H6+M6,100,3500,"=L6+MAX((0.1*B6-(B6-G6)),(0.1*G6))","=J6+MAX((0.1*B6-(G6-B6)),(0.1*B6))","=(If(S6>T6, S6+J6, T6+L6)*100)*ABS(E6)","=probbelow(B6,O6,AL6,(AO6))","=probabove(B6,P6,AL6,(AO6))","=-(DELTA_CALL(B6,H6,AM6,AR6,AS6,AL6)*ABS(E6)*Q6)-(DELTA_PUT(B6,G6,AN6,AR6,AS6,AL6)*ABS(F6)*Q6)","=-THETA_CALL(B6,H6,AM6,AR6,AS6,AL6)*ABS(E6)*Q6-THETA_PUT(B6,G6,AN6,AR6,AS6,AL6)*ABS(F6)*Q6","=-GAMMA_OPTION(B6,H6,AM6,AR6,AS6,AL6)*ABS(E6)*Q6-GAMMA_OPTION(B6,G6,AN6,AR6,AS6,AL6)*ABS(F6)*Q6","=-VEGA_OPTION(B6,H6,AM6,AR6,AS6,AL6)*ABS(E6)*Q6-VEGA_OPTION(B6,G6,AN6,AR6,AS6,AL6)*ABS(F6)*Q6",=(C6-O6)/C6,858.6255422903838,=AC6/R6,=((I6*ABS(E6)*Q6)-(J6*ABS(E6)*Q6))+((K6*ABS(F6)*Q6)-(L6*ABS(F6)*Q6)),=AE6/U6,"=(((AE6/U6)+1)^(365/(DATEDIF(AI6,TODAY(),""D""))))-1",=(((AC6/U6)+1)^(365/AK6))-1,45020,45366,346,"=DATEDIF(TODAY(),AJ6,""D"")","=OPTIONDATA(AP6,""IV"")","=OPTIONDATA(AQ6,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A6,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A6,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",GLD240315C00200000,GLD240315P00185000,0.04,0.0,0.15,=X6*AT6*B6,IB
KO,"=GOOGLEFINANCE(A7,""price"")",61.0,0,-1,-1,60.0,67.5,1.45,"=OPTIONDATA(AP7,""PRICE"")",2.6,"=OPTIONDATA(AQ7,""PRICE"")",=I7+K7,2.0,=(G7-M7),=H7+M7,100,1800,"=L7+MAX((0.1*B7-(B7-G7)),(0.1*G7))","=J7+MAX((0.1*B7-(G7-B7)),(0.1*B7))","=(If(S7>T7, S7+J7, T7+L7)*100)*ABS(E7)","=probbelow(B7,O7,AL7,(AO7))","=probabove(B7,P7,AL7,(AO7))","=-(DELTA_CALL(B7,H7,AM7,AR7,AS7,AL7)*ABS(E7)*Q7)-(DELTA_PUT(B7,G7,AN7,AR7,AS7,AL7)*ABS(F7)*Q7)","=-THETA_CALL(B7,H7,AM7,AR7,AS7,AL7)*ABS(E7)*Q7-THETA_PUT(B7,G7,AN7,AR7,AS7,AL7)*ABS(F7)*Q7","=-GAMMA_OPTION(B7,H7,AM7,AR7,AS7,AL7)*ABS(E7)*Q7-GAMMA_OPTION(B7,G7,AN7,AR7,AS7,AL7)*ABS(F7)*Q7","=-VEGA_OPTION(B7,H7,AM7,AR7,AS7,AL7)*ABS(E7)*Q7-VEGA_OPTION(B7,G7,AN7,AR7,AS7,AL7)*ABS(F7)*Q7",=(C7-O7)/C7,96.02292153323049,=AC7/R7,=((I7*ABS(E7)*Q7)-(J7*ABS(E7)*Q7))+((K7*ABS(F7)*Q7)-(L7*ABS(F7)*Q7)),=AE7/U7,"=(((AE7/U7)+1)^(365/(DATEDIF(AI7,TODAY(),""D""))))-1",=(((AC7/U7)+1)^(365/AK7))-1,45112,45464,350,"=DATEDIF(TODAY(),AJ7,""D"")","=OPTIONDATA(AP7,""IV"")","=OPTIONDATA(AQ7,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A7,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A7,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",KO240621C00067500,KO240621P00060000,0.04,0.035,"=GOOGLEFINANCE(A7,""beta"")",=X7*AT7*B7,IB
EWZ,"=GOOGLEFINANCE(A8,""price"")",32.0,0,-1,-1,32.0,38.0,1.62,"=OPTIONDATA(AP8,""PRICE"")",3.38,"=OPTIONDATA(AQ8,""PRICE"")",=I8+K8,2.0,=(G8-M8),=H8+M8,100,800,"=L8+MAX((0.1*B8-(B8-G8)),(0.1*G8))","=J8+MAX((0.1*B8-(G8-B8)),(0.1*B8))","=(If(S8>T8, S8+J8, T8+L8)*100)*ABS(E8)","=probbelow(B8,O8,AL8,(AO8))","=probabove(B8,P8,AL8,(AO8))","=-(DELTA_CALL(B8,H8,AM8,AR8,AS8,AL8)*ABS(E8)*Q8)-(DELTA_PUT(B8,G8,AN8,AR8,AS8,AL8)*ABS(F8)*Q8)","=-THETA_CALL(B8,H8,AM8,AR8,AS8,AL8)*ABS(E8)*Q8-THETA_PUT(B8,G8,AN8,AR8,AS8,AL8)*ABS(F8)*Q8","=-GAMMA_OPTION(B8,H8,AM8,AR8,AS8,AL8)*ABS(E8)*Q8-GAMMA_OPTION(B8,G8,AN8,AR8,AS8,AL8)*ABS(F8)*Q8","=-VEGA_OPTION(B8,H8,AM8,AR8,AS8,AL8)*ABS(E8)*Q8-VEGA_OPTION(B8,G8,AN8,AR8,AS8,AL8)*ABS(F8)*Q8",=(C8-O8)/C8,137.49813747990453,=AC8/R8,=((I8*ABS(E8)*Q8)-(J8*ABS(E8)*Q8))+((K8*ABS(F8)*Q8)-(L8*ABS(F8)*Q8)),=AE8/U8,"=(((AE8/U8)+1)^(365/(DATEDIF(AI8,TODAY(),""D""))))-1",=(((AC8/U8)+1)^(365/AK8))-1,45112,45464,350,"=DATEDIF(TODAY(),AJ8,""D"")","=OPTIONDATA(AP8,""IV"")","=OPTIONDATA(AQ8,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A8,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A8,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",EWZ240621C00038000,EWZ240621P00032000,0.04,0.075,1.1,=X8*AT8*B8,IB
XLF,"=GOOGLEFINANCE(A9,""price"")",33.0,0,-3,-3,33.0,37.0,1.14,"=OPTIONDATA(AP9,""PRICE"")",1.73,"=OPTIONDATA(AQ9,""PRICE"")",=I9+K9,6.0,=(G9-M9),=H9+M9,100,2000,"=L9+MAX((0.1*B9-(B9-G9)),(0.1*G9))","=J9+MAX((0.1*B9-(G9-B9)),(0.1*B9))","=(If(S9>T9, S9+J9, T9+L9)*100)*ABS(E9)","=probbelow(B9,O9,AL9,(AO9))","=probabove(B9,P9,AL9,(AO9))","=-(DELTA_CALL(B9,H9,AM9,AR9,AS9,AL9)*ABS(E9)*Q9)-(DELTA_PUT(B9,G9,AN9,AR9,AS9,AL9)*ABS(F9)*Q9)","=-THETA_CALL(B9,H9,AM9,AR9,AS9,AL9)*ABS(E9)*Q9-THETA_PUT(B9,G9,AN9,AR9,AS9,AL9)*ABS(F9)*Q9","=-GAMMA_OPTION(B9,H9,AM9,AR9,AS9,AL9)*ABS(E9)*Q9-GAMMA_OPTION(B9,G9,AN9,AR9,AS9,AL9)*ABS(F9)*Q9","=-VEGA_OPTION(B9,H9,AM9,AR9,AS9,AL9)*ABS(E9)*Q9-VEGA_OPTION(B9,G9,AN9,AR9,AS9,AL9)*ABS(F9)*Q9",=(C9-O9)/C9,327.5316679280358,=AC9/R9,=((I9*ABS(E9)*Q9)-(J9*ABS(E9)*Q9))+((K9*ABS(F9)*Q9)-(L9*ABS(F9)*Q9)),=AE9/U9,"=(((AE9/U9)+1)^(365/(DATEDIF(AI9,TODAY(),""D""))))-1",=(((AC9/U9)+1)^(365/AK9))-1,45106,45464,358,"=DATEDIF(TODAY(),AJ9,""D"")","=OPTIONDATA(AP9,""IV"")","=OPTIONDATA(AQ9,""IV"")","=STDEV(arrayformula(LN(
query(query(query(GoogleFinance($A9,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 50""),""select * ORDER BY Col1 ASC""),""select Col2 label Col2 ''"")/
query(query(query(GoogleFinance($A9,""close"",WORKDAY(TODAY(),-200),TODAY()),""select * ORDER BY Col1 DESC LIMIT 51""),""select * ORDER BY Col1 ASC LIMIT 50""),""select Col2 label Col2 ''"")
)))*SQRT(252)",XLF240621C00037000,XLF240621P00033000,0.04,0.02,1.1,=X9*AT9*B9,IB
